Code,Basin,Short Name,Recoveries,,
2MS27P025NOOT IS 14,NWVI,WSPT NOOT IS (25-14),301,,
2MS27H025NOOT IS 14,NWVI,WSPT NOOT IS [25-14],20,,
2MS27H025NOOT IS,NWVI,WSPT NOOT IS [H025],169,,
2MS27P125NOOT IS,NWVI,WSPT NOOT IS (P125),137,,
2MS27P125NOOT SO 01,NWVI,WSPT NOOT SO (125-1),128,,
2MS27P025NUCH IN 14,NWVI,WSPT NUCH IN (25-14),103,,
2MS27P125NUCH IN,NWVI,WSPT NUCH IN (P125),5,,
2MS27P025,NWVI,WSPT P025,808,,
2MS27P026,NWVI,WSPT P026,323,,
2MS27P027,NWVI,WSPT P027,1143,,
2MS27P126,NWVI,WSPT P126,2579,,
2MS27P127,NWVI,WSPT P127,1618,,
2MS27P027PEND PT 08,NWVI,WSPT PEND PT (27-8),2,,
2MS27H027PEND PT,NWVI,WSPT PEND PT [H027],5,,
2MS27P025PIN RK 13,NWVI,WSPT PIN RK (25-13),188,,
2MS27P125PIN RK,NWVI,WSPT PIN RK (P125),33,,
2MS27H025PIN RO,NWVI,WSPT PIN RO [H025],3,,
2MS27P027PR ALIC 08,NWVI,WSPT PR ALIC (27-8),6,,
2MS27H027PR ALIC,NWVI,WSPT PR ALIC [H027],1,,
2MS27P025PR ELZA 12,NWVI,WSPT PR ELZA (25-12),7,,
2MS27P025P RO PT 04,NWVI,WSPT P RO PT (25-4),10,,
2MS27P027QUAT NA 09,NWVI,WSPT QUAT NA (27-9),84,,
2MS27P027QUAT SD 02,NWVI,WSPT QUAT SD (27-2),269,,
2MS27H027QUATSIN,NWVI,WSPT QUATSIN [H027],31,,
2MS27H027QUAT SO,NWVI,WSPT QUAT SO [H027],15,,
2MS27P027REST BI 02,NWVI,WSPT REST BI (27-2),1,,
2MS27H027REST BO,NWVI,WSPT REST BO [H027],1,,
2MS27H025ROSA IO,NWVI,WSPT ROSA IO [H025],1,,
2MS27P025ROSA IS 13,NWVI,WSPT ROSA IS (25-13),160,,
2MS27P026RUGG PT 01,NWVI,WSPT RUGG PT (26-1),27,,
2MS27H026RUGG PT,NWVI,WSPT RUGG PT [H026],1,,
2MS27P027RUPE IN 10,NWVI,WSPT RUPE IN (27-10),85,,
2MS27P025SAAV IS 06,NWVI,WSPT SAAV IS (25-6),6,,
2MS27P025SALT PT 04,NWVI,WSPT SALT PT (25-4),9,,
2MS27H025SALT PT,NWVI,WSPT SALT PT [H025],1,,
2MS27P025SANT CV 06,NWVI,WSPT SANT CV (25-6),14,,
2MS27P027SEAO CV 02,NWVI,WSPT SEAO CV (27-2),1,,
2MS27P025SN C PT 04,NWVI,WSPT SN C PT (25-4),83,,
2MS27P127SOLA IS 02,NWVI,WSPT SOLA IS (127-2),10,,
2MS27P026SOLA IS,NWVI,WSPT SOLA IS (P026),1,,
2MS27P026SPRI IS 01,NWVI,WSPT SPRI IS (26-1),355,,
2MS27H026SPRI IS,NWVI,WSPT SPRI IS [H026],20,,
2MS27P126SPRI IS,NWVI,WSPT SPRI IS (P126),21,,
2MS27P025STEA PT 09,NWVI,WSPT STEA PT (25-9),5,,
2MS27H025STEA PT,NWVI,WSPT STEA PT [H025],2,,
2MS27P025STRA IS 04,NWVI,WSPT STRA IS (25-4),47,,
2MS27P025TAHS GR 08,NWVI,WSPT TAHS GR (25-8),3,,
2MS27P025TAHS IN 08,NWVI,WSPT TAHS IN (25-8),17,,
2MS27P025TAHSIS 16,NWVI,WSPT TAHSIS (25-16),120,,
2MS27H025TAHSIS,NWVI,WSPT TAHSIS [H025],22,,
2MS27P025TAHS NA 08,NWVI,WSPT TAHS NA (25-8),8,,
2MS27H025TATC PO,NWVI,WSPT TATC PO [H025],1,,
2MS27H025TATC PT,NWVI,WSPT TATC PT [H025],1,,
2MS27P125TATC PT,NWVI,WSPT TATC PT (P125),54,,
2MS27P126TATC PT,NWVI,WSPT TATC PT (P126),6,,
2MS27P026THRN IS 01,NWVI,WSPT THRN IS (26-1),57,,
2MS27H026THRN IS,NWVI,WSPT THRN IS [H026],6,,
2MS27P026THSI IN 04,NWVI,WSPT THSI IN (26-4),5,,
2MS27P025THSI IN,NWVI,WSPT THSI IN (P025),45,,
2MS27P025TLUP IN 04,NWVI,WSPT TLUP IN (25-4),92,,
2MS27H027TOPK PO,NWVI,WSPT TOPK PO [H027],15,,
2MS27P127TOPK PT,NWVI,WSPT TOPK PT (P127),166,,
2MS27P025TSOW NA 08,NWVI,WSPT TSOW NA (25-8),4,,
2MS27H025TWFIVEI,NWVI,WSPT TWFIVEI [H025],43,,
2MS27P125TWIN PK 05,NWVI,WSPT TWIN PK (125-5),11,,
2MS27P025TWNS IS 13,NWVI,WSPT TWNS IS (25-13),21,,
2MS27H025TWNS IS,NWVI,WSPT TWNS IS [H025],3,,
2MS27H027TWSEVEI,NWVI,WSPT TWSEVEI [H027],83,,
2MS27H027TWSEVEN,NWVI,WSPT TWSEVEN [H027],19,,
2MS27H027TWSEVEO,NWVI,WSPT TWSEVEO [H027],328,,
2MS27H026TWSIX,NWVI,WSPT TWSIX [H026],7,,
2MS27H026TWSIXI,NWVI,WSPT TWSIXI [H026],36,,
2MS27P126TWSIXO,NWVI,WSPT TWSIXO (P126),545,,
