record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
"T","4.1","20200529","ODFW","ODFW","05","090281","13",,,,,"1","3","2010","20111117","20111117","5F222    1700130000","5F22209  H9     21","5F222    35","S","H","P","FR","48.51",,"N","5000","287173","0000","23957","5000","1154","0000","96","B","0.004","82","535",,"ENGELKING","ELK R","ELK R HATCHERY","ELK R (ELK R HT)","OR","SOOR","SIXE","N"
"T","4.1","20200529","ODFW","ODFW","05","090342","13",,,,,"1","3","2009","20101024","20101024","5F222    1700130000","5F22209  H9     21","5F222    35","S","H","K","FR","39.86",,"N","5000","212149","0000","3018","5000","67810",,,"B","0.0211","62","546",,"BROOD REARED UNDER EXCEPTIONAL CONDITIONS AND EXPERIENCED NO PATHOLOGY","ELK R","ELK R HATCHERY","ELK R (ELK R HT)","OR","SOOR","SIXE","N"
"T","4.1","20200529","ODFW","ODFW","05","090343","12",,,,,"1","3","2009","20100906","20100908","5F222    1800160000","5F22225  H25    21","5F222    36","S","H","B","FR","31.56",,"N","5000","175033","0000","5186",,,,,"W","0","37","556",,"ENGELKING","SALMON R","SALMON R HATCHERY","SALMON R","OR","NOOR","SIYA","N"
"T","4.1","20200529","ODFW","ODFW","05","090365","12",,,,,"1","8","2012","20130731","20130731","5F332    0300100400","5F33201  H1     21","5F334    95","S","H","P","FR","10.25",,"N","5000","53132","0000","1215","5000","2054537","0000","88362","B","0.018","36","501",,"RETENTION D12;FLR 152264 TO 152274","TANNER CR (BNVILLE)","BONNEVILLE HATCHERY","COLUMBIA R UPRIVER S","OR","LOCR","SAND","N"
"T","4.1","20200529","ODFW","ODFW","05","090367","12",,,,,"1","3","2012","20130429","20130429","5F332    0100212040","5F33214  H14    21","5F332    13","P","H","P","FR","5.85",,"N","5000","53037",,,"5000","1897505","0000","35929","B","0","33","554",,"FLR 110824; NO MARK 2%                                     HME","KLASKANINE R N FK","KLASKANINE HATCHERY","BIG CR HATCHERY","OR","LOCR","YOCL","N"
"T","4.1","20200529","ODFW","ODFW","05","090377","12",,,"D","052013C014","1","3","2012","20130515","20130515","5F332    0100205000","5F33202  H2     21","5F332    13","S","H","P","FR","5.61",,"N","0000","225678",,,"0000","1846",,,"C","0.0081","30","493",,"ASSOC. W/ C014 RELATED GROUP ID (090702)","BIG CR (LWR COL R)","BIG CR HATCHERY","BIG CR HATCHERY","OR","LOCR","YOCL","N"
"T","4.1","20200529","ODFW","ODFW","05","090382","13",,,"O","052012C002","1","1","2010","20120314","20120314","5F333    0300200000","5F33307  H7     21","5F333    19","S","H","P","FR","44.82",,"N","5501","50042","0500","206","5501","719","0500","411","B","0.02","91","500",,"FLR 152759 152760.","CLACKAMAS R","CLACKAMAS HATCHERY","CLACKAMAS R EARLY","OR","LOCR","WILL","N"
"T","4.1","20200529","ODFW","ODFW","05","090433","12",,,"O","052011C012","1","8","2010","20110525","20110525","5F334    0700200000","5F33449  H49    21","5F334    91","P","H","P","FR","13.52",,"N","5000","137772","0000","283","5000","3105",,,"B","0.002","41","500",,"PRESMOLT RELEASE REITH BRIDGE;ASSOC 090436,090435,090434; C012         ENGELKING","UMATILLA R","UMATILLA HATCHERY","UMATILLA R","OR","CECR","UMAT","N"
"T","4.1","20200529","ODFW","ODFW","05","090434","12",,,"O","052011C012","1","8","2010","20110525","20110525","5F334    0700200000","5F33449  H49    21","5F334    91","P","H","P","FR","12.44",,"N","5000","137174","0000","833","5000","833",,,"B","0.006","36","500",,"PRESMOLT RELEASE REITH BRIDGE;ASSOC 090436,090435,090433; C012         ENGELKING","UMATILLA R","UMATILLA HATCHERY","UMATILLA R","OR","CECR","UMAT","N"
"T","4.1","20200529","ODFW","ODFW","05","090436","12",,,"O","052011C012","1","8","2010","20110525","20110525","5F334    0700200000","5F33449  H49    21","5F334    91","P","H","P","FR","13.05",,"N","5000","140958",,,"5000","282",,,"B","0.002","23","500",,"PRESMOLT REITH BRIDGE RELEASE;ASSOC 090433,090434,090435; C012         ENGELKING","UMATILLA R","UMATILLA HATCHERY","UMATILLA R","OR","CECR","UMAT","N"
