record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_rmis_region,release_location_rmis_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year
"R","4.1","20200204","CDFO","CDFO","S1341333","1","2019","20190716","R","5","07","40","07","N","3","2MS62P014KITT BE 13",,"5000",,,,,"720","0","1","V","1","184382","12",,,,"00621607","6",,,,,,"10.7","GSSPTCKITT BE (14-13)","N","BC","FRTH","LOFR","H-Chilliwack River H","S-Chilliwack R","2016","3","2FS  LWFRH0107","2FS  LWFRS0107","2017"
"R","4.1","20200204","CDFO","CDFO","S1388881","1","2019","20190606","R","5","06","40","07","N","3","2MS27M23BAUST IS 08",,"5000",,,,,,,,"V","1","184069","12",,,,"00271606","6",,,,,,"7.38","WSPT  AUST IS (23-8)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1337620","1","2019","20190626","R","5","06","40","07","N","3","2MS27P021NITINAT",,"5000","M",,,,"570","0","1","V","1","184282","12",,,,"027D1106","1",,,,,,"1.05","WSPT  NITINAT (P021)","N","BC","WCVI","SWVI","H-Alberni Inlet Seapen","S-Robertson Cr","2015","3","2MS  SWVIH9049","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1375190","1","2019","20190619","R","5","06","40","07","N","3","2MS27P027GRNT BY 02",,"5000",,,,,"675","0","1","V","1","184299","12",,,,"027D1106","1",,,,,,"1.05","WSPT  GRNT BY (27-2)","N","BC","GST","GSVI","H-Cowichan River H","S-Cowichan R","2016","3","2FS  GSVIH0118","2FS  GSVIS0118","2017"
"R","4.1","20200204","CDFO","CDFO","S1305945","1","2019","20190504","R","5","05","40","07","N","3","2MS27P027KAIN IS 02",,"5000",,,,,,,,"V","1","211213","12",,,,"00271605","6",,,,,,"2.59","WSPT  KAIN IS (27-2)","N","WA","NPS","STIL","WHITEHORSE POND","STILLAGUAMISH R -NF","2016","2","3F10308  050254AH","3F10308  050135 S","2017"
"R","4.1","20200204","CDFO","CDFO","S1326961","1","2019","20190630","R","5","06","40","07","N","3","2MS27P125BEAN CR 01",,"5000",,,,,"690","0","1","V","1","637157","12",,,,"00271606","6",,,,,,"7.38","WSPT  BEAN CR (125-1)","N","WA","NOWA","NOOK","KENDALL CR HATCHERY","NOOKSACK R   01.0120","2016","1","3F10107  010406 H","3F10107  010120 S","2017"
"R","4.1","20200204","CDFO","CDFO","S1304000","1","2019","20190607","R","5","06","40","07","N","3","2MS27P025CENT IS 13",,"5000",,,,,"690","0","1","V","1","184583","12",,,,"00271606","6",,,,,,"7.38","WSPT  CENT IS (25-13)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2016","3","2FS  SWVIH0104","2FS  SWVIS0104","2017"
"R","4.1","20200204","CDFO","CDFO","S1198837","1","2019","20190630","R","5","06","40","07","N","3","2MS27H025LOW RK",,"5000","F",,,,"680","0","1","V","1","184179","12",,,,"027D1106","1",,,,,,"1.05","WSPT  LOW RK [H025]","N","BC","WCVI","SWVI","H-Omega Pacific H","S-Robertson Cr","2015","3","2FS  SWVIH9003","2FS  SWVIS0104","2017"
"R","4.1","20200204","CDFO","CDFO","S1341336","1","2019","20190722","R","5","07","40","07","N","3","2MS62P014KITT BE 13",,"5000",,,,,"740","0","1","V","1","184383","12",,,,"00621607","6",,,,,,"10.7","GSSPTCKITT BE (14-13)","N","BC","FRTH","LOFR","H-Chilliwack River H","S-Chilliwack R","2016","3","2FS  LWFRH0107","2FS  LWFRS0107","2017"
"R","4.1","20200204","CDFO","CDFO","S1426815","1","2019","20190622","R","5","06","40","07","N","3","2MS27P025FERR PT",,"5000",,,,,"740","0","1","V","1","185362","12",,,,"027D1106","1",,,,,,"1.05","WSPT  FERR PT (P025)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Nahmint R","2015","3","2FS  SWVIH0104","2FS  SWVIS0413","2016"
