CRUISE NUMBER,STATION,SPECIES,FISH NUMBER,FL (mm),WT (mm),CWT,FIN CLIP,SEX,OTOLITH #,(0/1),DNA #,SAMPLE,1-PREY,1-VOL (cc),1-D,2-PREY,2-VOL (cc),2-D,3-PREY,3-VOL (cc),3-D,COMMENTS
2019-125,JS02,HERRING,004,084,5,,,,,,,W,M002,,,,,,,,,
2019-125,JS02,HERRING,005,098,9,,,,,,,W,M011,0.01,5,,,,,,,
2019-125,JS03,CHINOOK,001,150,35,,,,CK-1-B4,,124316,W,OAA,0.1,3,,,,,,,
2019-125,JS03,SOCKEYE,001,151,32,,,,SE-1-A2,,118102,W,M011,0.01,5,,,,,,,BLOOD 333
2019-125,JS04,SOCKEYE,001,153,36,,,,SE-1-A3,,118103,W,OAA,0.3,3,M004,0.01,3,,,,BLOOD 334
2019-125,JS04,SOCKEYE,002,160,40,,,,SE-1-A4,,118104,W,OAA,1,3,,,,,,,BLOOD 335
2019-125,JS04,PINK,001,182,56,,,,PK-1-A12,,108213,W,OAA,0.2,1,,,,,,,
2019-125,JS04,PINK,002,164,38,,,,PK-1-B1,,108214,W,OAA,0.6,1,RAB,0.01,3,,,,
2019-125,JS04,CHINOOK,001,171,41,,,,CK-1-B5,,124317,W,WAA,0.1,1,M004,0.01,1,OAA,0.01,1,WAA ADULT CRAB
2019-125,JS05,SOCKEYE,001,153,36,,,,SE-1-A5,,118105,W,OAA,0.2,1,RAB,0.2,5,,,,
2019-125,JS05,CHINOOK,001,214,110,,,,CK-1-B6,,124318,W,OAA,0.01,3,,,,,,,
2019-125,JS05,CHINOOK,002,171,53,,,,CK-1-B7,,124319,W,M002,,,,,,,,,
2019-125,JS05,CHUM,001,191,73,,,,CM-1-B9,,112321,W,M011,1.2,5,OAA,0.1,3,,,,
2019-125,JS05,PINK,001,159,41,,,,PK-1-B2,,108215,W,OAA,2,3,,,,,,,
2019-125,JS05,PINK,002,158,43,,,,PK-1-B3,,108216,W,OAA,1.7,3,,,,,,,
2019-125,JS05,PINK,003,158,39,,,,PK-1-B4,,108217,W,OAA,2.5,3,,,,,,,
2019-125,JS05,PINK,004,167,40,,,,PK-1-B5,,108218,W,OAA,1,3,,,,,,,
2019-125,JS05,PINK,005,149,30,,,,PK-1-B6,,108219,W,OAA,1.2,3,M011,0.01,5,,,,
2019-125,JS05,PINK,006,150,30,,,,PK-1-B7,,108220,M,RAB,0.1,5,OAA,0.1,3,,,,
2019-125,JS05,PINK,007,157,39,,,,PK-1-B8,,108221,M,OAA,2.5,3,,,,,,,
2019-125,JS05,PINK,008,192,69,,,,PK-1-B9,,108222,M,OAA,2.2,3,,,,,,,
2019-125,JS06,PINK,001,171,49,,,,PK-1-B10,,108223,W,OAA,1.8,1,,,,,,,
2019-125,JS06,PINK,002,162,46,,,,PK-1-B11,,108224,W,OAA,2.7,1,,,,,,,
2019-125,JS06,PINK,003,164,43,,,,PK-1-B12,,108225,W,OAA,2.6,1,,,,,,,
2019-125,JS06,PINK,004,152,37,,,,PK-1-C1,,108226,W,OAA,3,1,,,,,,,
2019-125,JS06,PINK,005,166,48,,,,PK-1-C2,0,108227,W,OAA,2.8,1,,,,,,,
2019-125,JS06,PINK,006,160,43,,,,PK-1-C3,,108228,M,OAA,2.4,1,,,,,,,
2019-125,JS06,PINK,007,167,49,,,,PK-1-C4,,108229,M,OAA,3.1,1,,,,,,,
2019-125,JS06,PINK,008,182,60,,,,PK-1-C5,,108230,M,OAA,4.5,1,,,,,,,
2019-125,JS06,PINK,009,190,74,,,,PK-1-C6,,108231,M,OAA,2.4,1,,,,,,,
2019-125,JS06,PINK,010,153,38,,,,PK-1-C7,,108232,M,OAA,3.6,1,,,,,,,
2019-125,JS06,PINK,011,158,40,,,,,,,,,,,,,,,,,
