"FISH_NUMBER","DATE_CAPTURED","SPECIES","SHIP_FL","SHIP_SL","SHIP_TL","SHIP_ML","SHIP_WT","OTOLITH","CWT_AGE","GONAD_WT","FIN_CL","SEX","SAMPLE","COMMENTS","TEMPORARY_TAG"
"BCSI-2019125-JS01-NA-079","Tuesday, Oct 1, 2019","HERRING",93,"","","",8,"","","","","","","",""
"BCSI-2019125-JS01-NA-080","Tuesday, Oct 1, 2019","HERRING",91,"","","",8,"","","","","","","",""
"BCSI-2019125-JS02-124-001","Tuesday, Oct 1, 2019","CHINOOK",164,"","","",44,"CK-1-A11","","","","","W","",""
"BCSI-2019125-JS02-124-002","Tuesday, Oct 1, 2019","CHINOOK",212,"","","",100,"CK-1-A12","","","","","W","",""
"BCSI-2019125-JS02-124-003","Tuesday, Oct 1, 2019","CHINOOK",179,"","","",58,"CK-1-B1","","","","","W","",""
"BCSI-2019125-JS02-124-004","Tuesday, Oct 1, 2019","CHINOOK",193,"","","",81,"CK-1-B2","","","AD","","W","",""
"BCSI-2019125-JS02-124-005","Tuesday, Oct 1, 2019","CHINOOK",175,"","","",64,"CK-1-B3","","","","","W","",""
"BCSI-2019125-JS02-NA-001","Tuesday, Oct 1, 2019","SABLEFISH",248,"","","",131,"","","","","","W","",""
"BCSI-2019125-JS02-NA-001","Tuesday, Oct 1, 2019","SABLEFISH",246,"","","",119,"","","","","","W","EYEBALL LENSE",""
"BCSI-2019125-JS02-108-001","Tuesday, Oct 1, 2019","PINK",145,"","","",29,"PK-1-A11","","","","","W","",""
"BCSI-2019125-JS02-118-001","Tuesday, Oct 1, 2019","SOCKEYE",151,"","","",31,"SE-1-A1","","","","","W","BLOOD 332",""
"BCSI-2019125-JS02-112-001","Tuesday, Oct 1, 2019","CHUM",215,"","","",104,"CM-1-A11","","","","","W","",""
"BCSI-2019125-JS02-112-002","Tuesday, Oct 1, 2019","CHUM",203,"","","",90,"CM-1-A12","","","","","W","",""
"BCSI-2019125-JS02-112-003","Tuesday, Oct 1, 2019","CHUM",210,"","","",99,"CM-1-B1","","","","","W","",""
"BCSI-2019125-JS02-112-004","Tuesday, Oct 1, 2019","CHUM",209,"","","",103,"CM-1-B2","","","","","W","",""
"BCSI-2019125-JS02-112-005","Tuesday, Oct 1, 2019","CHUM",207,"","","",93,"CM-1-B3","","","","","W","",""
"BCSI-2019125-JS02-112-006","Tuesday, Oct 1, 2019","CHUM",204,"","","",88,"CM-1-B4","","","","","M","",""
"BCSI-2019125-JS02-112-007","Tuesday, Oct 1, 2019","CHUM",207,"","","",90,"CM-1-B5","","","","","M","",""
"BCSI-2019125-JS02-112-008","Tuesday, Oct 1, 2019","CHUM",216,"","","",109,"CM-1-B6","","","","","M","",""
"BCSI-2019125-JS02-112-009","Tuesday, Oct 1, 2019","CHUM",199,"","","",78,"CM-1-B7","","","","","M","",""
